index,lat,lon,cropland_frac,cropland_frac_netgain
126,24.712499999999906,71.73750000000052,83,18
127,24.712499999999906,71.76250000000053,91,13
128,24.712499999999906,71.7875000000005,75,5
129,24.712499999999906,71.81250000000051,72,10
130,24.712499999999906,71.83750000000052,93,9
131,24.712499999999906,71.86250000000052,97,8
132,24.712499999999906,71.88750000000053,98,12
133,24.712499999999906,71.9125000000005,82,5
134,24.712499999999906,71.93750000000051,96,4
135,24.712499999999906,71.96250000000052,86,5
136,24.712499999999906,71.98750000000052,89,6
137,24.712499999999906,72.01250000000053,87,5
138,24.712499999999906,72.0375000000005,98,8
139,24.712499999999906,72.06250000000051,89,25
140,24.712499999999906,72.08750000000052,90,18
141,24.712499999999906,72.11250000000052,81,7
142,24.712499999999906,72.13750000000053,90,13
143,24.712499999999906,72.1625000000005,84,15
